TRAINING-PHASE 1753737021.695 2025-07-29 05:10:21.695

FAULT_START QPS 100 1753737141.762 2025-07-29 05:12:21.762

FAULT_END QPS 100 1753737183.013 2025-07-29 05:13:03.013

FAULT_START QPS 100 1753737243.069 2025-07-29 05:14:03.069

FAULT_END QPS 100 1753737282.754 2025-07-29 05:14:42.754

FAULT_START CPU 10-95 1753737342.805 2025-07-29 05:15:42.805

FAULT_END CPU 10-95 1753737389.091 2025-07-29 05:16:29.091

FAULT_START CPU 10-95 1753737449.146 2025-07-29 05:17:29.146

FAULT_END CPU 10-95 1753737495.369 2025-07-29 05:18:15.369

FAULT_START MEM 6 1753737555.426 2025-07-29 05:19:15.426

FAULT_END MEM 6 1753737599.327 2025-07-29 05:19:59.327

FAULT_START MEM 6 1753737659.368 2025-07-29 05:20:59.368

FAULT_END MEM 6 1753737704.339 2025-07-29 05:21:44.339

TESTING-PHASE 1753737884.407 2025-07-29 05:24:44.407

FAULT_START QPS 100 1753737884.444 2025-07-29 05:24:44.444

FAULT_END QPS 100 1753737925.762 2025-07-29 05:25:25.762

FAULT_START CPU 10-95 1753738051.833 2025-07-29 05:27:31.833

FAULT_END CPU 10-95 1753738095.485 2025-07-29 05:28:15.485

FAULT_START MEM 6 1753738266.551 2025-07-29 05:31:06.551

FAULT_END MEM 6 1753738315.521 2025-07-29 05:31:55.521

FAULT_START CPU 10-95 1753738420.584 2025-07-29 05:33:40.584

FAULT_END CPU 10-95 1753738464.016 2025-07-29 05:34:24.016

FAULT_START MEM 6 1753738591.107 2025-07-29 05:36:31.107

FAULT_END MEM 6 1753738635.377 2025-07-29 05:37:15.377

FAULT_START CPU 10-95 1753738708.547 2025-07-29 05:38:28.547

FAULT_END CPU 10-95 1753738750.383 2025-07-29 05:39:10.383

FAULT_START MEM 6 1753738881.454 2025-07-29 05:41:21.454

FAULT_END MEM 6 1753738924.229 2025-07-29 05:42:04.229

FAULT_START QPS 100 1753739082.311 2025-07-29 05:44:42.311

FAULT_END QPS 100 1753739123.951 2025-07-29 05:45:23.951

FAULT_START CPU 10-95 1753739271.003 2025-07-29 05:47:51.003

FAULT_END CPU 10-95 1753739314.458 2025-07-29 05:48:34.458

FAULT_START MEM 6 1753739454.580 2025-07-29 05:50:54.580

FAULT_END MEM 6 1753739499.253 2025-07-29 05:51:39.253

FAULT_START CPU 10-95 1753739672.340 2025-07-29 05:54:32.340

FAULT_END CPU 10-95 1753739714.820 2025-07-29 05:55:14.820

FAULT_START MEM 6 1753739874.879 2025-07-29 05:57:54.879

FAULT_END MEM 6 1753739919.128 2025-07-29 05:58:39.128

FAULT_START QPS 100 1753740067.208 2025-07-29 06:01:07.208

FAULT_END QPS 100 1753740107.508 2025-07-29 06:01:47.508

FAULT_START MEM 6 1753740273.565 2025-07-29 06:04:33.565

FAULT_END MEM 6 1753740317.176 2025-07-29 06:05:17.176

END 1753740504.252 2025-07-29 06:08:24.252
